# gpu_name,NVIDIA GeForce RTX 2080 Super
# gpu_cores,3072
# gpu_sms,48
# cpu_threads,20
# num_steps,1000
n,cpu1_ms,cpu_par_ms,gpu_ms,gpu_vs_cpu1,gpu_vs_cpu_par,match
1,0.007,0.179,0.834,0.008,0.215,OK
3,0.019,0.338,0.730,0.026,0.463,OK
10,0.065,0.896,0.727,0.089,1.232,OK
30,0.196,1.302,0.667,0.294,1.952,OK
100,0.652,1.656,0.741,0.880,2.235,OK
300,1.957,1.645,0.615,3.182,2.675,OK
1000,6.526,1.767,0.662,9.858,2.669,OK
3000,19.578,2.915,1.104,17.734,2.640,OK
10000,67.146,8.002,0.996,67.416,8.034,OK
30000,197.571,20.911,1.196,165.243,17.484,OK
100000,656.708,67.022,1.316,499.021,50.929,OK
300000,1958.531,162.441,3.015,649.596,53.878,OK
1000000,6538.269,514.873,7.246,902.343,71.056,OK
