# gpu_name,NVIDIA GeForce RTX 2080 Super
# gpu_cores,3072
# gpu_sms,48
# cpu_threads,20
# num_steps,1000
n,cpu_ms,gpu_ms,speedup,match
1,0.0067,0.7142,0.009,OK
3,0.0195,0.6516,0.030,OK
10,0.0650,0.6819,0.095,OK
30,0.1947,0.6164,0.316,OK
100,0.6502,0.6161,1.055,OK
300,1.9519,0.6234,3.131,OK
1000,6.5066,0.6230,10.444,OK
3000,19.6011,0.7572,25.886,OK
10000,65.5279,0.9841,66.587,OK
30000,199.2551,1.0355,192.424,OK
100000,654.9333,1.3864,472.399,OK
300000,1959.9306,2.6979,726.465,OK
1000000,6515.1999,6.0815,1071.315,OK
3000000,19540.7200,25.7343,759.326,OK
10000000,65135.0117,176.7689,368.476,OK
